left,right
lh_lateralorbitofrontal_volume,rh_lateralorbitofrontal_volume
lh_medialorbitofrontal_volume,rh_medialorbitofrontal_volume
lh_paracentral_volume,rh_paracentral_volume
lh_parsopercularis_volume,rh_parsopercularis_volume
lh_parsorbitalis_volume,rh_parsorbitalis_volume
lh_parstriangularis_volume,rh_parstriangularis_volume
lh_precentral_volume,rh_precentral_volume
lh_caudalmiddlefrontal_volume,rh_caudalmiddlefrontal_volume
lh_rostralmiddlefrontal_volume,rh_rostralmiddlefrontal_volume
lh_superiorfrontal_volume,rh_superiorfrontal_volume
lh_frontalpole_volume,rh_frontalpole_volume
lh_cuneus_volume,rh_cuneus_volume
lh_lateraloccipital_volume,rh_lateraloccipital_volume
lh_lingual_volume,rh_lingual_volume
lh_pericalcarine_volume,rh_pericalcarine_volume
lh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume
lh_isthmuscingulate_volume,rh_isthmuscingulate_volume
lh_posteriorcingulate_volume,rh_posteriorcingulate_volume
lh_rostralanteriorcingulate_volume,rh_rostralanteriorcingulate_volume
lh_inferiorparietal_volume,rh_inferiorparietal_volume
lh_postcentral_volume,rh_postcentral_volume
lh_precuneus_volume,rh_precuneus_volume
lh_superiorparietal_volume,rh_superiorparietal_volume
lh_supramarginal_volume,rh_supramarginal_volume
lh_entorhinal_volume,rh_entorhinal_volume
lh_fusiform_volume,rh_fusiform_volume
lh_parahippocampal_volume,rh_parahippocampal_volume
lh_temporalpole_volume,rh_temporalpole_volume
lh_bankssts_volume,rh_bankssts_volume
lh_inferiortemporal_volume,rh_inferiortemporal_volume
lh_middletemporal_volume,rh_middletemporal_volume
lh_superiortemporal_volume,rh_superiortemporal_volume
lh_transversetemporal_volume,rh_transversetemporal_volume
lh_insula_volume,rh_insula_volume
left-thalamus-proper,right-thalamus-proper
left-caudate,right-caudate
left-putamen,right-putamen
left-pallidum,right-pallidum
left-hippocampus,right-hippocampus
left-amygdala,right-amygdala
left-accumbens-area,right-accumbens-area
left-cerebellum-white-matter,right-cerebellum-white-matter
left-cerebellum-cortex,right-cerebellum-cortex
left-lateral-ventricle,right-lateral-ventricle
left-inf-lat-vent,right-inf-lat-vent
